transaction_id,customer_id,product,category,quantity,price,purchase_date
186,C009,Shirt,Fashion,5,25,2025-05-27
187,C037,Phone,Electronics,2,400,2025-04-08
188,C019,Shirt,Fashion,5,25,2025-03-03
189,C017,Headphones,Electronics,3,50,2025-02-28
190,C031,Laptop,Electronics,3,600,2025-03-09
191,C008,Chair,Home,2,120,2025-04-23
192,C038,Mixer,Home,4,80,2025-01-11
193,C019,Shoes,Fashion,2,60,2025-03-08
194,C001,Laptop,Electronics,3,600,2025-04-29
195,C039,Mixer,Home,4,80,2025-01-21
196,C024,Shirt,Fashion,1,25,2025-04-11
197,C042,Mixer,Home,1,80,2025-04-27
198,C013,Shoes,Fashion,1,60,2025-02-16
199,C022,Chair,Home,4,120,2025-06-10
200,C010,Laptop,Electronics,4,600,2025-01-03
201,C018,Shirt,Fashion,3,25,2025-05-09
202,C036,Laptop,Electronics,2,600,2025-06-22
203,C019,Shirt,Fashion,2,25,2025-02-06
204,C025,Mixer,Home,1,80,2025-04-09
205,C044,Shoes,Fashion,1,60,2025-01-07
206,C046,Headphones,Electronics,1,50,2025-02-11
207,C039,Laptop,Electronics,5,600,2025-02-07
208,C003,Book,Books,4,15,2025-03-14
209,C022,Laptop,Electronics,1,600,2025-02-18
210,C019,Phone,Electronics,1,400,2025-05-27
211,C025,Shoes,Fashion,4,60,2025-06-15
212,C010,Book,Books,5,15,2025-03-07
213,C047,Shirt,Fashion,3,25,2025-04-12
214,C036,Book,Books,3,15,2025-06-01
215,C004,Chair,Home,2,120,2025-06-21
216,C039,Shirt,Fashion,2,25,2025-01-31
217,C029,Book,Books,3,15,2025-05-29
218,C034,Shirt,Fashion,3,25,2025-05-22
219,C024,Mixer,Home,2,80,2025-02-15
220,C007,Headphones,Electronics,1,50,2025-03-16
221,C020,Book,Books,1,15,2025-05-12
222,C025,Headphones,Electronics,2,50,2025-06-19
223,C048,Mixer,Home,4,80,2025-03-14
224,C036,Book,Books,5,15,2025-05-03
225,C042,Headphones,Electronics,1,50,2025-05-04
226,C045,Shirt,Fashion,2,25,2025-06-18
227,C028,Shirt,Fashion,1,25,2025-02-06
228,C035,Chair,Home,4,120,2025-01-10
229,C042,Laptop,Electronics,4,600,2025-05-24
230,C024,Headphones,Electronics,1,50,2025-03-08
231,C034,Chair,Home,4,120,2025-04-17
232,C047,Shirt,Fashion,4,25,2025-01-13
233,C001,Book,Books,2,15,2025-03-01
234,C037,Shoes,Fashion,2,60,2025-06-27
235,C008,Shirt,Fashion,3,25,2025-01-09
236,C026,Phone,Electronics,3,400,2025-06-18
237,C037,Mixer,Home,3,80,2025-01-19
238,C024,Book,Books,4,15,2025-06-19
239,C046,Chair,Home,1,120,2025-04-02
240,C007,Phone,Electronics,5,400,2025-06-22
241,C049,Mixer,Home,2,80,2025-01-28
242,C030,Mixer,Home,2,80,2025-05-04
243,C023,Chair,Home,4,120,2025-06-24
244,C034,Book,Books,3,15,2025-02-06
245,C023,Phone,Electronics,3,400,2025-05-08
246,C043,Shirt,Fashion,1,25,2025-01-03
247,C012,Shirt,Fashion,5,25,2025-05-23
248,C019,Shoes,Fashion,4,60,2025-04-22
249,C025,Mixer,Home,4,80,2025-04-11
250,C047,Mixer,Home,1,80,2025-04-22
251,C035,Mixer,Home,5,80,2025-01-29
252,C024,Phone,Electronics,2,400,2025-01-22
253,C028,Shoes,Fashion,5,60,2025-05-30
254,C046,Headphones,Electronics,3,50,2025-03-03
255,C020,Chair,Home,3,120,2025-05-11
256,C020,Mixer,Home,1,80,2025-06-18
257,C002,Shoes,Fashion,5,60,2025-03-10
258,C010,Book,Books,4,15,2025-06-17
259,C045,Chair,Home,3,120,2025-01-27
260,C035,Shirt,Fashion,4,25,2025-06-17
261,C019,Chair,Home,5,120,2025-04-17
262,C004,Headphones,Electronics,1,50,2025-06-28
263,C009,Laptop,Electronics,5,600,2025-02-15
264,C032,Laptop,Electronics,1,600,2025-03-12
265,C047,Book,Books,1,15,2025-06-19
266,C014,Phone,Electronics,4,400,2025-03-24
267,C019,Laptop,Electronics,2,600,2025-03-03
268,C050,Laptop,Electronics,5,600,2025-02-21
269,C046,Phone,Electronics,2,400,2025-05-25
270,C008,Mixer,Home,2,80,2025-06-01
271,C001,Book,Books,1,15,2025-01-31
272,C044,Shoes,Fashion,1,60,2025-06-09
273,C023,Chair,Home,2,120,2025-03-11
274,C042,Headphones,Electronics,4,50,2025-01-13
275,C041,Mixer,Home,4,80,2025-02-20
276,C045,Laptop,Electronics,2,600,2025-04-29
277,C026,Book,Books,5,15,2025-06-22
278,C025,Book,Books,4,15,2025-04-04
279,C011,Shirt,Fashion,2,25,2025-02-19
280,C007,Shirt,Fashion,3,25,2025-02-28
281,C015,Laptop,Electronics,5,600,2025-02-22
282,C021,Shirt,Fashion,4,25,2025-03-30
283,C016,Mixer,Home,2,80,2025-06-07
284,C019,Laptop,Electronics,2,600,2025-06-08
285,C028,Chair,Home,4,120,2025-04-17
286,C009,Book,Books,4,15,2025-06-11
287,C038,Chair,Home,2,120,2025-05-04
288,C047,Laptop,Electronics,3,600,2025-03-01
289,C016,Shoes,Fashion,1,60,2025-01-06
290,C047,Shirt,Fashion,3,25,2025-06-24
291,C027,Mixer,Home,1,80,2025-03-18
292,C026,Shirt,Fashion,3,25,2025-03-07
293,C022,Phone,Electronics,1,400,2025-03-21
294,C035,Shoes,Fashion,4,60,2025-05-16
295,C050,Headphones,Electronics,4,50,2025-03-30
296,C014,Chair,Home,5,120,2025-05-01
297,C007,Phone,Electronics,3,400,2025-01-02
298,C006,Headphones,Electronics,3,50,2025-01-01
299,C036,Laptop,Electronics,5,600,2025-03-27
300,C014,Shoes,Fashion,1,60,2025-04-06
